"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"JPT1"	0	1.01561902416275	0.824	0.463	0	"Cycling B"	"JPT1"
"RPA3"	0	0.987284431429591	0.83	0.375	0	"Cycling B"	"RPA3"
"UBE2T"	0	0.986812734890718	0.556	0.05	0	"Cycling B"	"UBE2T"
"H2AFY"	0	0.986695152897588	0.807	0.372	0	"Cycling B"	"H2AFY"
"UBE2S"	0	0.983477391901177	0.492	0.095	0	"Cycling B"	"UBE2S"
"CALM2"	0	0.981301597091914	0.919	0.696	0	"Cycling B"	"CALM2"
"FABP5"	0	0.977099185481756	0.762	0.363	0	"Cycling B"	"FABP5"
"PKMYT1"	0	0.975294304827578	0.47	0.009	0	"Cycling B"	"PKMYT1"
"MAD2L1"	0	0.971527680452525	0.568	0.069	0	"Cycling B"	"MAD2L1"
"CARHSP1"	0	0.949194206135299	0.78	0.332	0	"Cycling B"	"CARHSP1"
"ANP32E"	0	0.946889117460561	0.712	0.231	0	"Cycling B"	"ANP32E"
"LMNB1"	0	0.936318640041539	0.678	0.196	0	"Cycling B"	"LMNB1"
"ATAD2"	0	0.934565450456631	0.523	0.074	0	"Cycling B"	"ATAD2"
"NUF2"	0	0.933806470332964	0.426	0.015	0	"Cycling B"	"NUF2"
"NASP"	0	0.930113688875519	0.729	0.29	0	"Cycling B"	"NASP"
"TMEM106C"	0	0.925186551157599	0.562	0.099	0	"Cycling B"	"TMEM106C"
"MND1"	0	0.919574774981169	0.558	0.072	0	"Cycling B"	"MND1"
"GMNN"	0	0.919140246802587	0.56	0.083	0	"Cycling B"	"GMNN"
"CBX3"	0	0.913351036595981	0.875	0.481	0	"Cycling B"	"CBX3"
"DTYMK"	0	0.91294395256757	0.592	0.093	0	"Cycling B"	"DTYMK"
"MCM6"	0	0.907127924271513	0.49	0.065	0	"Cycling B"	"MCM6"
"TPI1"	0	0.905520426622693	0.926	0.68	0	"Cycling B"	"TPI1"
"SNRPG"	0	0.902895480237878	0.917	0.626	0	"Cycling B"	"SNRPG"
"RAN"	0	0.901380648085108	0.975	0.798	0	"Cycling B"	"RAN"
"GTSE1"	0	0.900328083391946	0.425	0.009	0	"Cycling B"	"GTSE1"
"TACC3"	0	0.897933710928149	0.56	0.121	0	"Cycling B"	"TACC3"
"USP1"	0	0.89691687198303	0.675	0.193	0	"Cycling B"	"USP1"
"HMGB3"	0	0.893792062471013	0.528	0.063	0	"Cycling B"	"HMGB3"
"MYBL2"	0	0.889080443947432	0.644	0.204	0	"Cycling B"	"MYBL2"
"HELLS"	0	0.888993141263137	0.549	0.112	0	"Cycling B"	"HELLS"
"CBX5"	0	0.88841234897687	0.699	0.21	0	"Cycling B"	"CBX5"
"PRKDC"	0	0.888291825633359	0.721	0.289	0	"Cycling B"	"PRKDC"
