"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"NDUFS1"	1.00253714038674e-112	0.122622190689138	0.264	0.096	1.90341701473826e-108	"Cycling B"	"NDUFS1"
"XRCC6"	1.01372229558925e-112	0.307144209351027	0.738	0.466	1.92465315040575e-108	"Cycling B"	"XRCC6"
"C1D"	1.12292389197462e-112	0.165965476907372	0.524	0.27	2.13198330130301e-108	"Cycling B"	"C1D"
"PSMC2"	1.20520990390672e-112	0.13330446085115	0.35	0.15	2.2882115235573e-108	"Cycling B"	"PSMC2"
"HAUS6"	1.84040382479192e-112	0.12985455092791	0.178	0.047	3.49419070174995e-108	"Cycling B"	"HAUS6"
"EME1"	3.83927154901957e-112	0.115291540856604	0.082	0.002	7.28924096296856e-108	"Cycling B"	"EME1"
"DPH3"	6.09118851042674e-112	0.12616854404059	0.253	0.09	1.15647305058962e-107	"Cycling B"	"DPH3"
"ARPP19"	6.49865808559184e-112	0.142469784722275	0.429	0.202	1.23383522413047e-107	"Cycling B"	"ARPP19"
"RAC1"	1.22388854372667e-111	0.302844285590355	0.766	0.504	2.32367478911945e-107	"Cycling B"	"RAC1"
"VPS25"	1.43159845657873e-111	0.1404532650596	0.427	0.202	2.71803282966038e-107	"Cycling B"	"VPS25"
"INIP"	1.53065051755555e-111	0.134343002511329	0.286	0.111	2.90609307263098e-107	"Cycling B"	"INIP"
"FANCA"	1.98666143847308e-111	0.154375919786523	0.427	0.201	3.77187540708499e-107	"Cycling B"	"FANCA"
"NSL1"	4.88929893431332e-111	0.131174644362543	0.384	0.173	9.28282295668727e-107	"Cycling B"	"NSL1"
"ATP5PD"	7.43101569180188e-111	0.26579520420409	0.712	0.435	1.4108526392455e-106	"Cycling B"	"ATP5PD"
"TMEM126B"	7.96483351605734e-111	0.136802267729146	0.334	0.141	1.51220329135865e-106	"Cycling B"	"TMEM126B"
"CHTF8"	1.78801965319271e-110	0.149947941641862	0.433	0.208	3.39473411355168e-106	"Cycling B"	"CHTF8"
"CASP2"	1.80695312132141e-110	0.118447789787738	0.252	0.09	3.43068119614083e-106	"Cycling B"	"CASP2"
"CYSTM1"	2.28655195475036e-110	0.14699581395484	0.21	0.067	4.34124754128904e-106	"Cycling B"	"CYSTM1"
"CDK16"	2.72400051471736e-110	0.154794543358618	0.24	0.084	5.17178737724238e-106	"Cycling B"	"CDK16"
"MAST2"	3.64269708843313e-110	0.136657322147072	0.253	0.092	6.91602469209915e-106	"Cycling B"	"MAST2"
"C3orf14"	4.44009700671142e-110	0.1451006557603	0.132	0.025	8.4299681769423e-106	"Cycling B"	"C3orf14"
"SMYD2"	4.44958958106908e-110	0.130442636610146	0.176	0.047	8.44799077861775e-106	"Cycling B"	"SMYD2"
"MDM1"	4.72798327765982e-110	0.130909345280691	0.17	0.044	8.97654905096494e-106	"Cycling B"	"MDM1"
"HIST1H2BN"	6.92396898141456e-110	0.196486023670767	0.119	0.018	1.31458475081137e-105	"Cycling B"	"HIST1H2BN"
"RAB27A"	1.01726772016733e-109	0.128011206141309	0.215	0.069	1.93138449350969e-105	"Cycling B"	"RAB27A"
"CMPK1"	1.03000110346505e-109	0.195951600933094	0.46	0.231	1.95556009503874e-105	"Cycling B"	"CMPK1"
"PARK7"	1.13573913667906e-109	0.321110915647433	0.866	0.64	2.15631432489887e-105	"Cycling B"	"PARK7"
"CCDC150"	1.34684046155957e-109	0.119381682738829	0.079	0.002	2.557111300317e-105	"Cycling B"	"CCDC150"
"TSTD1"	1.89791508143021e-109	0.199609967462497	0.576	0.311	3.60338157360341e-105	"Cycling B"	"TSTD1"
"ZCRB1"	2.28451224992904e-109	0.160875973609925	0.485	0.244	4.33737495771528e-105	"Cycling B"	"ZCRB1"
"FIBP"	2.77002044874064e-109	0.188440902107736	0.603	0.332	5.25916082397897e-105	"Cycling B"	"FIBP"
"SCCPDH"	2.89642171671868e-109	0.142106290075206	0.259	0.096	5.49914627136208e-105	"Cycling B"	"SCCPDH"
"ASNSD1"	3.85354069001259e-109	0.144262263880582	0.305	0.124	7.31633235405791e-105	"Cycling B"	"ASNSD1"
"NEDD1"	4.40256838861324e-109	0.15263170096441	0.179	0.049	8.3587163426211e-105	"Cycling B"	"NEDD1"
"ELP5"	1.12316136880232e-108	0.153731872109003	0.431	0.208	2.13243417480808e-104	"Cycling B"	"ELP5"
"FAM110A"	1.52961463894255e-108	0.151413425210995	0.201	0.062	2.90412635349633e-104	"Cycling B"	"FAM110A"
"TAF5"	1.86768343112313e-108	0.119951446415294	0.109	0.014	3.54598376233037e-104	"Cycling B"	"TAF5"
"LIN54"	2.25639832421892e-108	0.117238835127507	0.15	0.034	4.28399785836204e-104	"Cycling B"	"LIN54"
"SPINK2"	2.56857771410228e-108	0.171693108382032	0.315	0.132	4.87670164799459e-104	"Cycling B"	"SPINK2"
"BDH1"	2.74091462350926e-108	0.12422315286806	0.15	0.034	5.20390050419468e-104	"Cycling B"	"BDH1"
"DPM1"	3.74232654997351e-108	0.138272689961702	0.279	0.108	7.1051811877797e-104	"Cycling B"	"DPM1"
"SRSF4"	3.7499201482008e-108	0.19433464563029	0.564	0.308	7.11959839337404e-104	"Cycling B"	"SRSF4"
"TMEM167A"	4.028830426403e-108	0.140301457987018	0.451	0.22	7.64913744756873e-104	"Cycling B"	"TMEM167A"
"PAXIP1"	4.20780158729654e-108	0.124015827849068	0.127	0.022	7.98893209364121e-104	"Cycling B"	"PAXIP1"
"ODF2"	5.02113689767145e-108	0.110305345089742	0.323	0.136	9.53313051391901e-104	"Cycling B"	"ODF2"
"RPS17"	5.29509707691908e-108	0.4060845766173	0.797	0.558	1.00532713102386e-103	"Cycling B"	"RPS17"
"DNPH1"	5.90420947008329e-108	0.200146026211075	0.392	0.185	1.12097320999001e-103	"Cycling B"	"DNPH1"
"LSM8"	7.21039375663062e-108	0.313339963948353	0.837	0.592	1.36896535863389e-103	"Cycling B"	"LSM8"
"EIF4EBP2"	7.93890352110307e-108	0.0994335053508124	0.238	0.083	1.50728022251663e-103	"Cycling B"	"EIF4EBP2"
"GNL1"	1.07505148049052e-107	0.133791362197931	0.406	0.19	2.0410927408593e-103	"Cycling B"	"GNL1"
"UBL4A"	1.43871862792739e-107	0.133625779541665	0.165	0.042	2.73155118698295e-103	"Cycling B"	"UBL4A"
"CHCHD1"	1.51655448166131e-107	0.187316837056701	0.544	0.292	2.87933033888217e-103	"Cycling B"	"CHCHD1"
"CDC5L"	1.69659501826252e-107	0.103489311530441	0.387	0.176	3.22115530167322e-103	"Cycling B"	"CDC5L"
"AP2A1"	1.98442774954842e-107	0.119249488713677	0.272	0.104	3.76763452529262e-103	"Cycling B"	"AP2A1"
"SF3B4"	2.13425646637252e-107	0.175250795645017	0.539	0.284	4.05209932705486e-103	"Cycling B"	"SF3B4"
"XRCC3"	2.82961287677244e-107	0.147717658567579	0.128	0.023	5.37230300784015e-103	"Cycling B"	"XRCC3"
"POLR2D"	2.94862149123742e-107	0.137716081652374	0.362	0.162	5.59825276326336e-103	"Cycling B"	"POLR2D"
"MTFP1"	3.00250114446417e-107	0.12669765423716	0.222	0.074	5.70054867287968e-103	"Cycling B"	"MTFP1"
"SPCS3"	3.02636794898619e-107	0.14144050223624	0.464	0.232	5.74586218794518e-103	"Cycling B"	"SPCS3"
"CDKN2C"	3.55134025337555e-107	0.139265026239503	0.302	0.123	6.74257460505882e-103	"Cycling B"	"CDKN2C"
"UBE2V2"	4.75953074943319e-107	0.163364201616605	0.477	0.241	9.03644508087385e-103	"Cycling B"	"UBE2V2"
"PAGR1"	4.76776347138541e-107	0.11894010764635	0.274	0.106	9.05207572677234e-103	"Cycling B"	"PAGR1"
"PAXX"	5.74942256126103e-107	0.145125619813091	0.396	0.184	1.09158536748102e-102	"Cycling B"	"PAXX"
"TXNRD1"	5.80242162778454e-107	0.114377487459562	0.369	0.165	1.10164777025117e-102	"Cycling B"	"TXNRD1"
"FBXL5"	9.58206442590098e-107	0.165117386633445	0.435	0.213	1.81925075190156e-102	"Cycling B"	"FBXL5"
"TPR"	1.02839136216188e-106	0.198793119083809	0.635	0.359	1.95250384020055e-102	"Cycling B"	"TPR"
"AIG1"	1.45954838149863e-106	0.125847669886238	0.214	0.07	2.7710985571133e-102	"Cycling B"	"AIG1"
"COA3"	1.46778745970668e-106	0.153769675169736	0.523	0.272	2.78674127099911e-102	"Cycling B"	"COA3"
"RPS16"	1.8965665161113e-106	0.195199862903053	0.998	0.99	3.60082118748891e-102	"Cycling B"	"RPS16"
"NET1"	1.93812088273349e-106	0.0990354635072921	0.295	0.118	3.6797163079578e-102	"Cycling B"	"NET1"
"TXNL4A"	1.96618066334684e-106	0.228558391837063	0.454	0.235	3.73299060743032e-102	"Cycling B"	"TXNL4A"
"UTP18"	2.08858358885052e-106	0.144454190879021	0.336	0.146	3.96538480179159e-102	"Cycling B"	"UTP18"
"RTTN"	2.17492191709577e-106	0.136817060046973	0.136	0.028	4.12930675179804e-102	"Cycling B"	"RTTN"
"ARMC1"	2.1933303168313e-106	0.103908834798361	0.319	0.133	4.16425693953591e-102	"Cycling B"	"ARMC1"
"SUGP2"	2.29041478221421e-106	0.152299353876886	0.37	0.17	4.3485815055119e-102	"Cycling B"	"SUGP2"
"SLC1A5"	2.93727503941234e-106	0.149803746930905	0.191	0.058	5.57671038982826e-102	"Cycling B"	"SLC1A5"
"PCGF6"	6.5159832811191e-106	0.128895374669075	0.132	0.026	1.23712458575327e-101	"Cycling B"	"PCGF6"
"BCL7B"	7.5858189903574e-106	0.136868880819026	0.372	0.168	1.44024359350926e-101	"Cycling B"	"BCL7B"
"PFKP"	8.08206958156005e-106	0.129773372281706	0.186	0.055	1.53446173075499e-101	"Cycling B"	"PFKP"
"FAM104B"	8.54194210024814e-106	0.124482163976476	0.331	0.142	1.62177312715311e-101	"Cycling B"	"FAM104B"
"S100A10"	8.63327620754731e-106	0.297582417278127	0.832	0.567	1.63911382076493e-101	"Cycling B"	"S100A10"
"MMAB"	9.06819960935724e-106	0.130248813464399	0.205	0.065	1.72168837783257e-101	"Cycling B"	"MMAB"
"CPSF7"	1.23170638352452e-105	0.122183100359709	0.329	0.141	2.33851773975965e-101	"Cycling B"	"CPSF7"
"PHB"	3.40753930290132e-105	0.233474740934256	0.563	0.315	6.46955412048844e-101	"Cycling B"	"PHB"
"CNIH4"	6.07928728132983e-105	0.115785777374685	0.261	0.099	1.15421348323328e-100	"Cycling B"	"CNIH4"
"MRPS14"	8.97665854711319e-105	0.13416997236534	0.458	0.227	1.70430839175491e-100	"Cycling B"	"MRPS14"
"FANCL"	1.40518146677498e-104	0.140898320372697	0.198	0.062	2.66787753281897e-100	"Cycling B"	"FANCL"
"CCT7"	2.20105418069931e-104	0.255584038998239	0.635	0.373	4.1789214674757e-100	"Cycling B"	"CCT7"
"CCT2"	2.82590819834313e-104	0.264662271537748	0.681	0.419	5.36526930537427e-100	"Cycling B"	"CCT2"
"TADA2A"	3.7001865820783e-104	0.12864699303147	0.123	0.022	7.02517424473386e-100	"Cycling B"	"TADA2A"
"COCH"	5.41758113232342e-104	0.125425384770753	0.096	0.01	1.02858195378293e-99	"Cycling B"	"COCH"
"KDM1A"	9.08769921462189e-104	0.130079530841498	0.28	0.111	1.72539057288811e-99	"Cycling B"	"KDM1A"
"CDC23"	9.59739881078167e-104	0.12084430875139	0.183	0.054	1.82216213821501e-99	"Cycling B"	"CDC23"
"ABCF1"	1.09137416335214e-103	0.13761187809777	0.349	0.156	2.07208298654037e-99	"Cycling B"	"ABCF1"
"REXO5"	1.65363848460545e-103	0.125486457643029	0.085	0.005	3.13959802687191e-99	"Cycling B"	"REXO5"
"DGKZ"	1.9176803832966e-103	0.146574477056356	0.225	0.079	3.64090797572692e-99	"Cycling B"	"DGKZ"
"DCTN3"	3.16591350563716e-103	0.20290660527993	0.62	0.354	6.01080338180271e-99	"Cycling B"	"DCTN3"
"LRRC42"	3.20353914771983e-103	0.109099682692466	0.24	0.087	6.08223942586088e-99	"Cycling B"	"LRRC42"
"ING2"	3.59367646330642e-103	0.12582455731051	0.188	0.057	6.82295413323356e-99	"Cycling B"	"ING2"
"CDKN2AIP"	3.68293396640018e-103	0.126769295866327	0.249	0.092	6.99241842860738e-99	"Cycling B"	"CDKN2AIP"
"TMUB1"	3.78477915722511e-103	0.125951056461714	0.394	0.184	7.18578170790759e-99	"Cycling B"	"TMUB1"
"UBB"	3.80735691025647e-103	0.410767142933926	0.896	0.729	7.22864782981294e-99	"Cycling B"	"UBB"
"TOMM40"	4.09264898433598e-103	0.166471270358072	0.318	0.139	7.77030336166029e-99	"Cycling B"	"TOMM40"
"HAX1"	4.25299359607894e-103	0.151194194425771	0.502	0.259	8.07473364151548e-99	"Cycling B"	"HAX1"
"WEE1"	5.63928443649334e-103	0.146473932020913	0.353	0.161	1.07067454311263e-98	"Cycling B"	"WEE1"
"PGRMC1"	6.7125246313456e-103	0.11186269762065	0.152	0.037	1.27443992650728e-98	"Cycling B"	"PGRMC1"
"NUP93"	7.29056823554122e-103	0.141705462239296	0.227	0.08	1.38418728519986e-98	"Cycling B"	"NUP93"
"FARSB"	7.97844104259035e-103	0.141163188434168	0.231	0.083	1.5147868163462e-98	"Cycling B"	"FARSB"
"MRPS15"	1.14084403461519e-102	0.216406131539336	0.581	0.327	2.16600648412039e-98	"Cycling B"	"MRPS15"
"TIFA"	1.58054100072441e-102	0.179785060677355	0.53	0.286	3.00081514397537e-98	"Cycling B"	"TIFA"
"COMMD8"	1.66701874007004e-102	0.149820113163941	0.462	0.234	3.16500177989698e-98	"Cycling B"	"COMMD8"
"SF3A2"	1.87888941496204e-102	0.241125118877435	0.656	0.392	3.56725944324692e-98	"Cycling B"	"SF3A2"
"EMD"	2.20498086869607e-102	0.177710283469597	0.565	0.311	4.18637667730635e-98	"Cycling B"	"EMD"
"TPM4"	2.53796917728e-102	0.327530353612565	0.733	0.48	4.81858827998382e-98	"Cycling B"	"TPM4"
"MRPS34"	2.6155779825334e-102	0.252656507172663	0.663	0.404	4.96593635763792e-98	"Cycling B"	"MRPS34"
"CNTROB"	4.38300032580915e-102	0.134683411798652	0.114	0.018	8.32156441858126e-98	"Cycling B"	"CNTROB"
"SRI"	5.29357798514368e-102	0.212999430228167	0.574	0.321	1.00503871625938e-97	"Cycling B"	"SRI"
"SREK1IP1"	6.98258594318706e-102	0.129278238920205	0.355	0.16	1.32571376717349e-97	"Cycling B"	"SREK1IP1"
"BRIX1"	8.98177729722628e-102	0.13625281295945	0.321	0.14	1.70528023765138e-97	"Cycling B"	"BRIX1"
"TIMM17A"	1.00485383185405e-101	0.126013391803417	0.452	0.225	1.9078154851581e-97	"Cycling B"	"TIMM17A"
"PMS2"	1.02436096502419e-101	0.155402650427739	0.438	0.219	1.94485172819493e-97	"Cycling B"	"PMS2"
"THAP7"	1.23338863016312e-101	0.129234302121302	0.226	0.08	2.3417116532277e-97	"Cycling B"	"THAP7"
"INO80E"	1.50842492828357e-101	0.150424781417745	0.506	0.265	2.86389556883919e-97	"Cycling B"	"INO80E"
"ERCC6L"	4.70304037328203e-101	0.115460900372621	0.075	0.002	8.92919245271327e-97	"Cycling B"	"ERCC6L"
"NUP205"	5.83847537784826e-101	0.115509398212375	0.212	0.072	1.10849293523827e-96	"Cycling B"	"NUP205"
"PPP2R3C"	6.9007086963676e-101	0.125624450754584	0.374	0.173	1.31016855309235e-96	"Cycling B"	"PPP2R3C"
"GTF3A"	7.28386098443492e-101	0.234424106525668	0.628	0.371	1.38291384650481e-96	"Cycling B"	"GTF3A"
"GTF3C6"	7.37631133127367e-101	0.172657305226851	0.542	0.295	1.40046646935562e-96	"Cycling B"	"GTF3C6"
"ISOC1"	8.90689810613154e-101	0.112559029615265	0.144	0.034	1.69106367443013e-96	"Cycling B"	"ISOC1"
"C17orf53"	9.49693253657765e-101	0.108032874413404	0.076	0.003	1.80308761139463e-96	"Cycling B"	"C17orf53"
"LAGE3"	1.19502084072615e-100	0.149232808909085	0.475	0.245	2.26886656820267e-96	"Cycling B"	"LAGE3"
"DESI2"	1.36631103518509e-100	0.130940173757404	0.412	0.199	2.59407813140242e-96	"Cycling B"	"DESI2"
"SUMO1"	1.37367655606073e-100	0.256490221543421	0.752	0.49	2.6080623093369e-96	"Cycling B"	"SUMO1"
"CPSF3"	1.38901110349045e-100	0.0993216220927799	0.291	0.12	2.63717648108696e-96	"Cycling B"	"CPSF3"
"TIMM50"	1.40927140864807e-100	0.112480435280217	0.304	0.128	2.67564269645923e-96	"Cycling B"	"TIMM50"
"DNAJC1"	1.66143016306118e-100	0.105436588662073	0.205	0.068	3.15439130758795e-96	"Cycling B"	"DNAJC1"
"PPA2"	1.87499992556744e-100	0.1250333260861	0.301	0.127	3.55987485868235e-96	"Cycling B"	"PPA2"
"PSMC5"	2.135066823618e-100	0.177176225499475	0.551	0.3	4.05363787132113e-96	"Cycling B"	"PSMC5"
"DNAJC21"	2.94866611195677e-100	0.0931076735101506	0.212	0.071	5.59833748016112e-96	"Cycling B"	"DNAJC21"
"KHDRBS1"	3.04384140330193e-100	0.281708192442958	0.684	0.432	5.77903728830905e-96	"Cycling B"	"KHDRBS1"
"CALM1"	3.34985194651686e-100	0.270193201177269	0.88	0.663	6.36002890565691e-96	"Cycling B"	"CALM1"
"ATAD3A"	4.44225258805843e-100	0.113722234373027	0.143	0.034	8.43406076368773e-96	"Cycling B"	"ATAD3A"
"HIST1H2BB"	5.23178572310413e-100	0.197470662213599	0.098	0.012	9.9330683738855e-96	"Cycling B"	"HIST1H2BB"
"GCSH"	6.4311507194018e-100	0.128830874985718	0.158	0.042	1.22101827558563e-95	"Cycling B"	"GCSH"
"MIF4GD"	6.44252107094927e-100	0.126358697393485	0.383	0.18	1.22317705053043e-95	"Cycling B"	"MIF4GD"
"AP4M1"	6.60140836726905e-100	0.116968516876395	0.123	0.023	1.2533433926097e-95	"Cycling B"	"AP4M1"
"TST"	8.74589539094686e-100	0.123846447732289	0.135	0.03	1.66049569892517e-95	"Cycling B"	"TST"
"CEP41"	9.12541713175365e-100	0.122685267228681	0.13	0.027	1.73255169663475e-95	"Cycling B"	"CEP41"
"ABHD11"	9.58478243238778e-100	0.12284885358268	0.139	0.032	1.81976679261314e-95	"Cycling B"	"ABHD11"
"LAMTOR2"	1.86319320116753e-99	0.182402724661575	0.567	0.313	3.53745861173668e-95	"Cycling B"	"LAMTOR2"
"WDR4"	1.94435636470074e-99	0.11767427277575	0.188	0.058	3.69155499402082e-95	"Cycling B"	"WDR4"
"APEX2"	2.50719707375984e-99	0.108716993201322	0.243	0.09	4.76016436424043e-95	"Cycling B"	"APEX2"
"FDX1"	2.59236297282922e-99	0.11976905637077	0.401	0.193	4.92186034021356e-95	"Cycling B"	"FDX1"
"FAF1"	3.12992146722977e-99	0.112763514714249	0.288	0.119	5.94246889768244e-95	"Cycling B"	"FAF1"
"SH3GLB2"	3.27319859914581e-99	0.114656322599346	0.161	0.044	6.21449486033823e-95	"Cycling B"	"SH3GLB2"
"CCDC82"	3.35488496873196e-99	0.124498436772899	0.296	0.125	6.3695846016345e-95	"Cycling B"	"CCDC82"
"TP53"	3.3665373836413e-99	0.118745610859718	0.251	0.097	6.39170787658137e-95	"Cycling B"	"TP53"
"NDUFV1"	3.8133457055726e-99	0.189585066823244	0.634	0.365	7.24001815660014e-95	"Cycling B"	"NDUFV1"
"COPS8"	4.19033234357285e-99	0.117709553594357	0.431	0.213	7.95576498750742e-95	"Cycling B"	"COPS8"
"NDUFAF3"	4.68780980703487e-99	0.252155360703421	0.708	0.434	8.9002756996364e-95	"Cycling B"	"NDUFAF3"
"PSMC1"	4.77602880074874e-99	0.162481104616606	0.459	0.235	9.06776828110155e-95	"Cycling B"	"PSMC1"
"UCK2"	6.18865569547838e-99	0.117304511084349	0.103	0.014	1.17497817034353e-94	"Cycling B"	"UCK2"
"PRPF38A"	6.39424852214429e-99	0.129871126483036	0.479	0.245	1.21401202441432e-94	"Cycling B"	"PRPF38A"
"CNOT1"	8.23710259827699e-99	0.135725586119481	0.523	0.277	1.56389629930887e-94	"Cycling B"	"CNOT1"
"HNRNPM"	1.11141234684864e-98	0.268159726235989	0.772	0.506	2.11012748172682e-94	"Cycling B"	"HNRNPM"
"MRPL4"	1.24110560791012e-98	0.243256486445043	0.56	0.321	2.35636310717815e-94	"Cycling B"	"MRPL4"
"GEN1"	1.56117941751685e-98	0.0969383495369169	0.281	0.115	2.96405524209748e-94	"Cycling B"	"GEN1"
"BID"	2.18948518830132e-98	0.176592444392052	0.531	0.287	4.15695657850889e-94	"Cycling B"	"BID"
"CAND1"	2.52891158390992e-98	0.114337352206634	0.435	0.215	4.80139153321138e-94	"Cycling B"	"CAND1"
"NTMT1"	3.82032813478003e-98	0.122385399858042	0.301	0.128	7.25327499669337e-94	"Cycling B"	"NTMT1"
"ILF3"	4.08833168349859e-98	0.247476686237334	0.705	0.44	7.76210653429043e-94	"Cycling B"	"ILF3"
"PSMB3"	4.10491342993673e-98	0.298370550754405	0.818	0.575	7.79358863807788e-94	"Cycling B"	"PSMB3"
"HYLS1"	5.14879218551868e-98	0.125990756480437	0.124	0.025	9.77549684342576e-94	"Cycling B"	"HYLS1"
"SEC22C"	5.5414401512198e-98	0.115871663680019	0.195	0.064	1.05209782711059e-93	"Cycling B"	"SEC22C"
"ACOT13"	6.21247331972898e-98	0.123361195078941	0.269	0.108	1.17950018448374e-93	"Cycling B"	"ACOT13"
"FAM192A"	8.99794967283182e-98	0.111731046703345	0.416	0.202	1.70835072488385e-93	"Cycling B"	"FAM192A"
"POLR2E"	9.10468312185212e-98	0.252239536834674	0.681	0.42	1.72861513751484e-93	"Cycling B"	"POLR2E"
"UQCRHL"	1.08467871919447e-97	0.145478408916713	0.358	0.167	2.05937101626261e-93	"Cycling B"	"UQCRHL"
"USP13"	1.30752094864417e-97	0.119981471396507	0.125	0.025	2.48245927309583e-93	"Cycling B"	"USP13"
"CYCS"	1.45996317703169e-97	0.229934180284906	0.665	0.404	2.77188608791236e-93	"Cycling B"	"CYCS"
"AC011447.3"	1.49803024178698e-97	0.132878823284381	0.182	0.056	2.84416021705676e-93	"Cycling B"	"AC011447.3"
"LMF2"	1.68680284069636e-97	0.126219657602019	0.24	0.091	3.20256387334611e-93	"Cycling B"	"LMF2"
"PSMD11"	1.71231357849093e-97	0.125389331035104	0.425	0.211	3.25099856012289e-93	"Cycling B"	"PSMD11"
"FRG1"	1.87861968021006e-97	0.0968595205380772	0.402	0.193	3.56674732484681e-93	"Cycling B"	"FRG1"
"ENO2"	1.91365652715825e-97	0.139703525370359	0.282	0.117	3.63326828246264e-93	"Cycling B"	"ENO2"
"ATXN2L"	2.0029497266873e-97	0.111131396771033	0.39	0.186	3.8028003510885e-93	"Cycling B"	"ATXN2L"
"PSMD7"	2.49962473622785e-97	0.159481181836463	0.538	0.295	4.74578752420219e-93	"Cycling B"	"PSMD7"
"CCDC124"	2.51650348246231e-97	0.148786608625351	0.48	0.249	4.77783351180293e-93	"Cycling B"	"CCDC124"
"DKC1"	2.51693326746875e-97	0.131832265887177	0.344	0.157	4.77864950161617e-93	"Cycling B"	"DKC1"
"SF3A3"	2.83285207982349e-97	0.124679889377461	0.436	0.219	5.37845295875288e-93	"Cycling B"	"SF3A3"
"AP1S1"	4.15683033904953e-97	0.113247562161445	0.299	0.127	7.89215808171944e-93	"Cycling B"	"AP1S1"
"RPS10"	5.03254237330615e-97	0.270096240887426	0.533	0.297	9.55478494995905e-93	"Cycling B"	"RPS10"
"RIC8A"	6.63674503316333e-97	0.100751831918701	0.333	0.149	1.26005241199639e-92	"Cycling B"	"RIC8A"
"HIST1H4B"	8.84079196799146e-97	0.20405665221722	0.099	0.013	1.67851276304286e-92	"Cycling B"	"HIST1H4B"
"RNF126"	1.03700291143825e-96	0.128034397510015	0.315	0.139	1.96885372765667e-92	"Cycling B"	"RNF126"
"MRPL3"	1.32500153939538e-96	0.17220711676126	0.398	0.196	2.51564792269606e-92	"Cycling B"	"MRPL3"
"LACTB2"	1.41845180123454e-96	0.117491864047231	0.215	0.076	2.6930725898239e-92	"Cycling B"	"LACTB2"
"TTF1"	1.90964480660736e-96	0.0947460112607237	0.216	0.076	3.62565162982474e-92	"Cycling B"	"TTF1"
"ACTN4"	2.28248451540217e-96	0.10985447149001	0.461	0.236	4.33352510094255e-92	"Cycling B"	"ACTN4"
"PDAP1"	2.81319852264751e-96	0.190658498685407	0.597	0.337	5.34113871509857e-92	"Cycling B"	"PDAP1"
"ANAPC5"	2.99162029711505e-96	0.159007176813869	0.575	0.317	5.67989029610263e-92	"Cycling B"	"ANAPC5"
"LRWD1"	3.14623527215149e-96	0.103145700781848	0.28	0.115	5.97344228770682e-92	"Cycling B"	"LRWD1"
"PPP1R35"	3.31239408813652e-96	0.118724130845671	0.236	0.089	6.28891141573599e-92	"Cycling B"	"PPP1R35"
"FUBP1"	3.61588200288138e-96	0.129987671699238	0.433	0.217	6.86511357067059e-92	"Cycling B"	"FUBP1"
"RUSC1"	4.39688734847916e-96	0.102198794005332	0.11	0.018	8.34793031982254e-92	"Cycling B"	"RUSC1"
"LRRC45"	7.48950679121527e-96	0.110988574561671	0.108	0.018	1.42195775938013e-91	"Cycling B"	"LRRC45"
"ZNF85"	8.55070366635344e-96	0.112229385503262	0.196	0.065	1.62343659809386e-91	"Cycling B"	"ZNF85"
"HIST1H4I"	9.70979393274329e-96	0.153184672441063	0.072	0.003	1.84350147607064e-91	"Cycling B"	"HIST1H4I"
"ASH2L"	9.8518185867843e-96	0.110082902001532	0.254	0.1	1.87046627688687e-91	"Cycling B"	"ASH2L"
"TICRR"	9.8845064544812e-96	0.100977062128671	0.068	0.001	1.8766723954478e-91	"Cycling B"	"TICRR"
"CHCHD7"	9.96046896342135e-96	0.134790932271047	0.515	0.275	1.89109463739518e-91	"Cycling B"	"CHCHD7"
"GAMT"	1.19725738317426e-95	0.121490780452661	0.153	0.041	2.27311286769464e-91	"Cycling B"	"GAMT"
"DDX1"	1.61663652602304e-95	0.0995310674441432	0.289	0.122	3.06934610830734e-91	"Cycling B"	"DDX1"
"CCDC15"	1.74763921635455e-95	0.105379983368451	0.078	0.005	3.31806781617076e-91	"Cycling B"	"CCDC15"
"TRIM59"	1.94257128701807e-95	0.108451270316011	0.171	0.05	3.6881658455325e-91	"Cycling B"	"TRIM59"
"CEP97"	2.45383279369134e-95	0.126152028560305	0.132	0.03	4.65884694210239e-91	"Cycling B"	"CEP97"
"SLF2"	2.45676522777114e-95	0.0947401395416229	0.202	0.068	4.66441446144628e-91	"Cycling B"	"SLF2"
"PSMB7"	2.77530033611096e-95	0.156683991431975	0.552	0.303	5.26918521814027e-91	"Cycling B"	"PSMB7"
"GLRX"	3.27618404778705e-95	0.204344548849274	0.522	0.286	6.2201630331285e-91	"Cycling B"	"GLRX"
"NOLC1"	4.1264164285388e-95	0.151248817693172	0.326	0.149	7.83441423122377e-91	"Cycling B"	"NOLC1"
"SYCE1L"	4.41554827940766e-95	0.123669109453536	0.134	0.031	8.38335996328338e-91	"Cycling B"	"SYCE1L"
"FBXO43"	4.88241890995928e-95	0.113247546915903	0.071	0.002	9.26976054244869e-91	"Cycling B"	"FBXO43"
"SENP1"	4.89837067565692e-95	0.111576292854394	0.222	0.081	9.30004656480223e-91	"Cycling B"	"SENP1"
"TAF6"	5.26209487377222e-95	0.0832167448101427	0.27	0.11	9.99061332734393e-91	"Cycling B"	"TAF6"
"ESD"	1.14895603880449e-94	0.152717440754349	0.564	0.314	2.1814079352742e-90	"Cycling B"	"ESD"
"FOPNL"	1.28591256060555e-94	0.119619656364166	0.32	0.143	2.4414335875657e-90	"Cycling B"	"FOPNL"
