"Cycling B"	"LZ GC"	"DZ GC"	"GC"	"prePB"	"FCRL2/3high GC"
"CLCN6"	0.12337698985785	0.224301612203504	0.194641929177291	0.247717156912743	0.138375355311443	0.219490665615573
"NPPA-AS1"	0.00471964087504447	0.00372440130625646	0.00847974395638032	0.00233379170632898	0	0.0427948768427782
"NPPA"	0.000304100878651177	0.00219188939550759	0.000478147716947453	0.00179326199737108	0	0
"KIAA2013"	0.10004733853079	0.122610541881326	0.106515681658938	0.0977028325219821	0.0902465033362593	0.147646787747972
"PLOD1"	0.0477841744843226	0.101585876922093	0.0464365981470449	0.0812813993773465	0.0767676792696687	0.0667073328344958
"MFN2"	0.139753353678548	0.158398247062612	0.114068937713949	0.134427909991081	0.121104073388281	0.159200565615273
"MIIP"	0.275489678177404	0.610682712233358	0.37059269595702	0.402143165057832	0.323905818216341	0.151940410831806
"TNFRSF8"	0.0101745976140499	0.0115720233945597	0	0.00475381759982944	0	0
"TNFRSF1B"	0.0409330162318223	0.0369134412903448	0.018156399073865	0.0328786158253959	0.019948022328544	0
"VPS13D"	0.104144354111511	0.141297043784417	0.165427963574588	0.134451989251801	0.0872655252388216	0.0648565262088184
"DHRS3"	0.00207533344090916	0.0206975158060999	0	0.00112781500669919	0	0
"PDPN"	0.000694434461949054	0.00292277416863881	0	0.000460357976203728	0	0
"PRDM2"	0.546514507784714	0.817595701889299	0.942162814445578	0.779773383189375	1.28218264333093	1.03552618324622
"KAZN"	0.00023876884934451	0	0	0	0	0.037320674160658
"EFHD2"	0.260403198717816	0.238479168564861	0.204976501348227	0.172813430629825	0.237043382775341	0.167728847894542
"CTRC"	0.000168052562539417	0	0.00165291223300509	0.000533541810243559	0	0
"CASP9"	0.128120775350756	0.107800499847749	0.139839350058561	0.128946330584984	0.172798871813405	0.237067325132011
"DNAJC16"	0.0625416556928021	0.128494296423818	0.131164747109363	0.131177140091376	0.172601665349038	0.141745651497446
"AL121992.3"	0.000234941583654757	0	0.00306768509721648	0.000204333354665736	0	0
"AGMAT"	0.0800413082881177	0.28977298670266	0.0761924485371748	0.109893131891941	0.338826176912776	0.356575231187339
"AL121992.1"	0.000766653123956705	0	0	0	0	0
"DDI2"	0.118648955377166	0.251546300279321	0.164543815105238	0.192439773954933	0.197164283710403	0.256229865950853
"AL121992.2"	0.000648940884425312	0	0.00133902669630915	0.000340606995727085	0	0
"PLEKHM2"	0.0950413026100402	0.104561377199419	0.129235027739618	0.132564971384658	0.0971239104495199	0.189452404941126
"SLC25A34"	0.00358753753782895	0	0.0120997441532918	0.00888266075886693	0	0
"FBLIM1"	0.0016736194539904	0	0.00154435431935827	0.00401213775224497	0.012485625923156	0
"UQCRHL"	0.595472304797632	0.344787171081744	0.476992857784082	0.453309507481572	0.235038309590702	0.377754350181385
"AL450998.2"	0.215019529796856	0.13715294314645	0.373137638730704	0.246347143252094	0.160031257198077	0.193194345499695
"SPEN"	0.458781908670646	0.522334473853377	0.409279677883654	0.67536755906391	0.548891339691844	0.252852178785627
"ZBTB17"	0.118839210140546	0.17871273192486	0.144529641448631	0.160240324310307	0.309500373858808	0.126908283329688
"ARHGEF19"	0.0286095193413617	0.0322576143621527	0.0138992691117785	0.0433916726090077	0.0389134642423551	0.0498882956478017
"RSG1"	0.0180499016885034	0.0250825455945553	0.0148207931576365	0.00945267322497902	0.0105402032728484	0
"FBXO42"	0.154472800515779	0.264365816442549	0.149957648963637	0.204564100278251	0.155954966465652	0.117669769828958
"SZRD1"	0.768799014024605	0.892246500579537	0.631460378101306	0.634018500361983	0.530844868846059	0.668801253195415
"SPATA21"	0.00283037468352604	0	0.00191988953723559	0.00216826667201484	0	0.0206219582611565
"NECAP2"	0.432748149127494	0.805094338269432	0.538997312460899	0.590593570872872	0.887690900681147	0.426703463101994
"LINC01772"	0.00337465095156501	0.00477251275638513	0.0038574289190742	0.00547813839530719	0	0
"AL137802.2"	0.044767994053652	0.0325688540406477	0.0741235851672544	0.0713395562129311	0.019333295477248	0.0414779255341256
"LINC01783"	0.0125187394544171	0.0307897943320118	0.00801331640882254	0.0271463957685115	0.0516864641723178	0
"NBPF1"	0.0484685723106336	0.073486328072885	0.0439421027106582	0.113897016277377	0.104032976323449	0.156280289946345
"AL021920.3"	0.00373834687025742	0.0124708602514604	0.00823835438753433	0.00389041954068288	0	0
"CROCC"	0.0461565648676558	0.0517895852413616	0.0562221951224398	0.0748053195075982	0.0227344308792937	0.0737840697828462
"BX284668.2"	0.00883339789543981	0.0241582769020846	0.00571872552266198	0.021956641689135	0	0
"BX284668.5"	0.194253084976975	0.083243194065524	0.124038147572733	0.187572872479369	0.290525415570323	0.182430331649218
"BX284668.6"	0.0742652734990983	0.0512656129791146	0.10574732040483	0.0952441475578242	0.0933115268303142	0.0145802931491352
"MFAP2"	0.000351765628111475	0	0.00217027641508533	0	0	0
"ATP13A2"	0.0491758951824656	0.0789318997997043	0.0266100682320094	0.0702612692773864	0.0581145777586162	0.0536517258848705
"SDHB"	0.980127837778134	0.877285495560696	0.91083534785669	0.71971019968793	0.881082485958549	0.691278676768091
"PADI2"	0.00194661301675739	0.032844803338062	0.00109349388745126	0.0284066752611285	0.0269759871284055	0
"PADI4"	0.0241489846378672	0.0175536419568852	0.0422006282290189	0.0236267361355079	0.0278377180123135	0.144736665223656
"RCC2"	0.597570597969025	0.574771472989369	0.301322920030717	0.374561233960411	0.494934559559634	0.390359918082491
"KLHDC7A"	0.000330001150520195	0	0	0	0	0
"AL080251.1"	0.00188575774159636	0	0.00107735633991885	0.000900507354848795	0	0
"ALDH4A1"	0.0323229472347135	0.020884936814169	0.0122342306099193	0.022838624866435	0.00615019388486222	0.0277758323701415
"IFFO2"	0.00936401756803491	0.0216043891183137	0.00210471275167896	0.0137360009337607	0.0463036561647898	0
"UBR4"	0.398227922659853	0.556826505400376	0.441755215402013	0.513014562888015	0.556810846612728	0.793400060267012
"AL035413.1"	0.0286442444264684	0.00722628181840166	0.0213238459976601	0.0138154342128955	0.0194378069150003	0.011729489814111
"EMC1"	0.086714497265774	0.185153994650738	0.0974415951984959	0.110236355068665	0.0658171527056418	0.0400137141093256
"MRTO4"	0.4432453816456	0.96662002922917	0.294377193356789	0.260499664398253	0.229077814714791	0.217042793676583
"AKR7A3"	0.00146374922211765	0	0	0.00200154051057005	0	0
"AKR7A2"	0.863402200737119	0.456800658058058	0.482084827021059	0.639158948596373	0.603829878573736	0.639691349188388
"PQLC2"	0.0790958004153413	0.0706654410250941	0.0557221255746365	0.107320462639098	0.0778741354690198	0.120517757348518
"CAPZB"	3.48314148455756	3.36954385460938	3.4367873464003	3.93187629463424	4.3488025368356	2.93089896783053
"MINOS1"	2.1646010707166	1.97139579533594	1.58773185752646	1.26819948332351	1.47713705377557	1.04891678436908
"NBL1"	0.0043304361923006	0.00141952701359907	0	0.00169449697651196	0	0
"HTR6"	0.000256392247183081	0	0.000413765498155661	0	0	0
"TMCO4"	0.0462469159584044	0.0707200499420736	0.0418642397194145	0.0436118493750341	0.0427540101593678	0.112624048570981
"OTUD3"	0.0419830714707682	0.0304508540583143	0.0332919988791374	0.0390343846209273	0.0380791696136536	0.0160626046950561
"PLA2G2D"	0.00199756276463232	0	0.00548000267085727	0.00612741620357008	0	0
"PLA2G2F"	9.48529623998209e-05	0.00390817049940948	0	0.0020631052312612	0	0
"PLA2G2C"	0.000832457394824184	0	0.00123675481966445	0.00100644985642396	0	0
"UBXN10-AS1"	0.00572112298699513	0.00119928536983382	0.00576177896615099	0.00440132769494869	0	0.00585214211810091
"UBXN10"	0.000976314443374912	0.00168872051219569	0.000814139519252242	0	0	0
"CAMK2N1"	0.00094675116113473	0	0.00474298424062547	0	0	0
"MUL1"	0.159098047744724	0.221215145441751	0.250462075249381	0.210764304102839	0.148635450222541	0.144283889706106
"FAM43B"	0.000502043591628172	0	0	0	0	0
"PINK1"	0.0190001181352362	0.00504618582729429	0.0407044206472295	0.0302728760392585	0.0773766258812431	0.0294679114752885
"PINK1-AS"	0.00444634506051399	0.00354806582513642	0.00528791370765862	0.0064285856075954	0.00299166074567144	0
"DDOST"	0.920196728738849	1.10501852241439	1.05462799733201	0.994425397631337	1.26405116107109	0.958140831981229
"HP1BP3"	1.83234223904191	0.916089809446495	1.18632451812852	1.00210478862309	0.861774214065616	0.993723057733001
"EIF4G3"	0.295835119205518	0.489487128375322	0.303281302383984	0.478796838197002	0.310111167982128	0.467008182280221
"ECE1"	0.225750386328331	0.455774907945192	0.273573158051481	0.300649158928053	0.324800952832856	0.314980054688799
"AL031728.1"	0.0188269413765782	0.0220811908133793	0.0159287237714495	0.0295085302383769	0.0540721006925424	0
"NBPF3"	0.016003774135546	0.0208329888809019	0.0183462831710822	0.0239846086287544	0.0124603266214909	0.075233467819407
"ALPL"	0.0231071291550207	0.0205300019978723	0.0250529444472132	0.0587479295210761	0.0105579340234703	0.180472582199348
"USP48"	0.662479062488525	0.598895464073308	0.652478714931647	0.664327420849968	0.528255999076507	0.653238096527215
"LDLRAD2"	0.00307303435886505	0.00811657734540304	0.00127818009742662	0.00596152670654912	0.0417941387840295	0
"HSPG2"	0.000395984705172599	0	0	0	0	0.00701724839655874
"LINC01635"	0.00311273067206548	0	0.00529664643000437	0.00176492524504291	0	0
"CDC42"	2.07893828910449	2.16840295306158	2.43304946840505	2.18777865861883	2.1608349819089	1.43511693159015
"ZBTB40"	0.0816878155356731	0.0657261869484886	0.12908495121138	0.116076333504252	0.121912100647575	0.10672550992197
"C1QA"	0.00404168000543199	0	0.00723516557392622	0.00522522708117398	0.0175618836876443	0
"C1QC"	0.00519464185544448	0	0.0109340465944235	0.00505226641234434	0	0
